时间,代码,涨跌,成交额,均价,换手率,振幅,成交笔数,复权因子(后),内盘成交量,外盘成交量,金额流入率,流入资金,流出资金,净流入资金,小单流入资金,小单流出资金,中单流入资金,中单流出资金,大单流入资金,大单流出资金,超大单流入资金,超大单流出资金,小单金额流入率,中单金额流入率,大单金额流入率,超大单金额流入率,买盘成交量,卖盘成交量,净流入量,小单买盘成交量,小单卖盘成交量,中单买盘成交量,中单卖盘成交量,大单买盘成交量,大单卖盘成交量,超大单买盘成交量,超大单卖盘成交量,融资买入额,融资偿还额,融券余额,融券偿还量,融券余量,融资余额,融资融券余额,融券卖出量,融资余额/流通市值,融券余额/流通市值,总股本,流通A股（含锁定股）,总市值,市现率,市盈率,市销率,市净率,股息率
2014-09-25,600660.SH,0.15,188106530,10.2861,0.913005931,0.01773399,9822,51.02967714,8284291,10003093,3.312547417,79843300,73612182,6231118,41427326,49371598,66032464,64319309,68321336,57088942,11521964,16523240,-4.223283477,0.910736592,5.971294032,-2.658746616,7764631,7158505,606126,4025929,4798629,6418343,6251769,6643242,5550125,1121389,1608380,14842541,21023695,14388317.2,265961,1396924,534547430,548935747.2,141200,0.025910216,0.000697421,2002986332,2002986332,20630759220,-122.4338,11.57718625,1.833175783,2.615729879,0.048543689
2014-09-26,600660.SH,0.13,155562456,10.3907,0.747451481,0.023300971,7938,51.02967714,6217467,8753884,5.749562092,63150860,54206700,8944160,30959466,46480554,60538524,53961596,47015858,44627323,16135002,9579377,-9.977399688,4.227837596,1.535418675,4.214143418,6085713,5227349,858364,2977400,4468408,5820234,5187590,4530828,4298065,1554885,929284,12183912,18215684,16177253.33,204193,1551031,528515658,544692911.3,358300,0.025298546,0.000774359,2002986332,2002986332,20891147443,-123.979081,11.72330608,1.856312953,2.648743945,0.047938639
2014-09-29,600660.SH,0.03,165646555,10.4463,0.791663615,0.014381592,9777,51.02967714,7113887,8743027,-2.681189476,62992451,67433749,-4441298,59255368,42031842,42228067,55010295,45011050,52564629,17981401,14869120,10.39775684,-7.716567362,-4.56005801,1.878868534,6029214,6460303,-431089,5673276,4021191,4042428,5263424,4310309,5035401,1718905,1424902,13098703,25795185,15674749.32,199689,1498542,515819176,531493925.3,147200,0.024619987,0.000748154,2002986332,2002986332,20951237033,-124.3356843,11.75702604,1.8616523,2.656362576,0.047801147
2014-09-30,600660.SH,0.06,137835543,10.5156,0.654410207,0.021032505,8150,51.02967714,5408421,7699326,6.903169381,53114625,43599604,9515021,46499362,44674018,37725048,49065414,37497470,37296733,15617155,6302871,1.324291224,-8.22746133,0.14563515,6.75753423,5045857,4144334,901523,4424613,4249110,3590040,4667066,3566710,3546006,1479147,598328,14125523,19656938,15821543.48,145193,1503949,510287761,526109304.5,150600,0.02421706,0.000750853,2002986332,2002986332,21071416213,-125.0488909,11.82446596,1.872330993,2.535940543,0.047528517
2014-10-08,600660.SH,0.01,123207124,10.5237,0.584506085,0.008555133,8288,51.02967714,7226374,4481203,4.541173285,44771488,39176439,5595049,45830043,45191859,31582373,37815605,32019430,28767455,12752058,10408984,0.517976542,-5.059149015,2.639437473,1.901735812,4256651,3723893,532758,4353120,4293573,3000595,3592900,3043552,2734144,1213099,989749,25743617,14805279,16418891.97,79200,1559249,521226099,537644991,134500,0.024712677,0.000778462,2002986332,2002986332,21091446076,-125.1677587,11.83570595,1.874110776,2.538351133,0.047483381
2014-10-09,600660.SH,-0.12,135158905,10.4054,0.648498534,0.020892688,8059,51.02967714,8051138,4938199,-9.784960895,37548991,50774237,-13225246,48952125,37807794,47493530,45412615,30600352,29962575,6948639,20811662,8.245354607,1.539606288,0.471871979,-10.25683287,3608313,4881754,-1273441,4705990,3633310,4563819,4363058,2942970,2882103,665343,1999651,28634176,14992841,16150334.25,288024,1551425,534867434,551017768.3,280200,0.025651776,0.000774556,2002986332,2002986332,20851087716,-123.7413454,11.70082611,1.852753388,2.509424054,0.04803074
2014-10-10,600660.SH,-0.21,193631644,10.2061,0.947189489,0.024975985,12681,51.02967714,13368708,5603368,-9.252216027,55784664,73699882,-17915218,68173317,62165257,68189950,56282793,50677902,44540252,5106762,29159630,3.102829618,6.149385893,3.169755662,-12.42197169,5464942,7233190,-1768248,6680703,6081802,6681222,5511875,4964464,4370516,500478,2862674,39990310,13345004,15456315,344999,1515325,561512740,576969055,308899,0.027484096,0.000756533,2002986332,2002986332,20430460586,-121.2451223,11.46478639,1.815377959,2.458801667,0.049019608
2014-10-13,600660.SH,-0.03,101064070,10.1038,0.49938194,0.014705882,9215,51.02967714,4585013,5417539,-6.050474714,17523456,23638312,-6114856,53929099,44057945,28973899,32730198,17389345,17861603,134111,5776709,9.767223901,-3.716750176,-0.467285752,-5.583188961,1733833,2340616,-606783,5337218,4360023,2868441,3238853,1720607,1768397,13226,572219,8321065,20674594,14206208.58,248315,1396874,549159211,563365419.6,129864,0.026958724,0.000697396,2002986332,2002986332,20370370996,-120.888519,11.43106643,1.810038612,2.451569897,0.049164208
2014-10-14,600660.SH,-0.07,97141477,10.1283,0.478839164,0.009832842,6781,51.02967714,6809838,2781245,-4.374026555,29020843,33269837,-4248994,27942288,30998601,39817344,32512037,27998074,30563577,1022769,2706260,-3.146249259,7.520275814,-2.640996492,-1.733030063,2864594,3286554,-421960,2759464,3059647,3931395,3209252,2763479,3018589,101115,267965,15988716,9232489,14165048,104302,1402480,555915438,570080486,109908,0.027479535,0.000700194,2002986332,2002986332,20230161953,-120.0564447,11.35238652,1.797580136,2.434695768,0.04950495
2014-10-15,600660.SH,0.11,99265613,10.1631,0.487634281,0.015841584,7716,51.02967714,3929578,5837670,-0.98803903,26239800,27220583,-980783,31738410,38463094,40641576,32936107,25015800,21277894,1224000,5942689,-6.774434567,7.762475612,3.765559782,-4.753598812,2578481,2676629,-98148,3128138,3786015,3996920,3240895,2458481,2093298,120000,583331,8706773,11718175,17041306.8,98400,1669080,552904036,569945342.8,365000,0.027036224,0.000833296,2002986332,2002986332,20450490450,-121.3639901,11.47602637,1.817157742,2.461212257,0.048971596
